Bitstring,Cost
"(0, 1, 0, 0, 1, 1, 0, 0, 0)",1369.0
"(0, 1, 0, 0, 1, 1, 1, 1, 0)",1369.0
"(0, 1, 1, 0, 0, 1, 0, 1, 0)",1371.0
"(0, 1, 1, 0, 0, 1, 0, 1, 1)",1371.0
"(1, 0, 0, 0, 1, 0, 1, 0, 0)",1379.0
"(1, 0, 1, 0, 0, 0, 0, 0, 0)",1381.0
"(1, 0, 1, 0, 0, 0, 0, 0, 1)",1381.0
"(1, 0, 1, 0, 0, 0, 1, 1, 0)",1381.0
"(1, 1, 0, 0, 0, 1, 1, 0, 1)",1383.0
"(1, 1, 0, 0, 0, 1, 1, 0, 0)",1383.0
"(0, 0, 0, 1, 0, 0, 1, 1, 1)",1385.0
"(0, 0, 0, 1, 0, 0, 0, 0, 1)",1385.0
"(0, 0, 0, 1, 0, 0, 1, 1, 0)",1385.0
"(0, 0, 0, 0, 1, 0, 1, 0, 1)",1398.0
"(0, 0, 0, 0, 1, 0, 1, 0, 0)",1398.0
"(0, 0, 1, 0, 0, 0, 1, 1, 0)",1400.0
"(0, 0, 1, 0, 0, 0, 0, 0, 1)",1400.0
"(0, 0, 1, 0, 0, 0, 1, 1, 1)",1400.0
"(0, 1, 0, 0, 0, 1, 1, 0, 1)",1402.0
"(1, 0, 0, 0, 0, 0, 0, 1, 1)",1412.0
"(1, 0, 0, 0, 0, 0, 0, 1, 0)",1412.0
"(0, 0, 0, 0, 0, 0, 0, 1, 1)",1431.0
"(0, 1, 1, 1, 1, 0, 0, 0, 0)",2405.0
"(1, 1, 1, 1, 0, 0, 1, 0, 0)",2419.0
"(0, 0, 1, 1, 1, 1, 0, 0, 0)",2434.0
"(0, 1, 0, 1, 1, 0, 0, 1, 0)",2436.0
"(0, 1, 1, 1, 0, 0, 1, 0, 1)",2438.0
"(0, 1, 1, 1, 0, 0, 0, 0, 0)",2438.0
"(1, 0, 1, 1, 0, 1, 1, 0, 0)",2448.0
"(1, 1, 0, 1, 0, 0, 0, 0, 1)",2450.0
"(1, 1, 0, 1, 0, 0, 1, 1, 0)",2450.0
"(0, 1, 1, 0, 1, 0, 0, 1, 0)",2451.0
"(1, 1, 0, 0, 1, 0, 1, 0, 0)",2463.0
"(0, 0, 0, 1, 1, 1, 0, 1, 0)",2465.0
"(1, 1, 1, 0, 0, 0, 1, 1, 0)",2465.0
"(1, 1, 1, 0, 0, 0, 0, 0, 1)",2465.0
"(0, 0, 1, 1, 0, 1, 1, 0, 1)",2467.0
"(0, 0, 1, 1, 0, 1, 0, 0, 0)",2467.0
"(0, 1, 0, 1, 0, 0, 0, 1, 0)",2469.0
"(0, 1, 0, 1, 0, 0, 1, 1, 1)",2469.0
"(1, 0, 0, 1, 0, 1, 0, 0, 1)",2479.0
"(1, 0, 0, 1, 0, 1, 1, 1, 0)",2479.0
"(0, 0, 1, 0, 1, 1, 0, 1, 0)",2480.0
"(0, 1, 0, 0, 1, 0, 1, 0, 1)",2482.0
"(0, 1, 0, 0, 1, 0, 0, 0, 0)",2482.0
"(0, 1, 1, 0, 0, 0, 1, 1, 1)",2484.0
"(0, 1, 1, 0, 0, 0, 0, 1, 0)",2484.0
"(1, 0, 0, 0, 1, 1, 1, 0, 0)",2492.0
"(1, 0, 1, 0, 0, 1, 1, 1, 0)",2494.0
"(1, 0, 1, 0, 0, 1, 0, 0, 1)",2494.0
"(1, 1, 0, 0, 0, 0, 0, 1, 1)",2496.0
"(1, 1, 0, 0, 0, 0, 1, 0, 0)",2496.0
"(0, 0, 0, 1, 0, 1, 1, 1, 1)",2498.0
"(0, 0, 0, 1, 0, 1, 0, 1, 0)",2498.0
"(0, 0, 0, 0, 1, 1, 0, 0, 0)",2511.0
"(0, 0, 0, 0, 1, 1, 1, 0, 1)",2511.0
"(0, 0, 1, 0, 0, 1, 0, 1, 0)",2513.0
"(0, 0, 1, 0, 0, 1, 1, 1, 1)",2513.0
"(0, 1, 0, 0, 0, 0, 1, 0, 1)",2515.0
"(1, 0, 0, 0, 0, 1, 1, 0, 0)",2525.0
"(1, 0, 0, 0, 0, 1, 0, 1, 1)",2525.0
"(0, 0, 0, 0, 0, 1, 1, 0, 1)",2544.0
"(0, 1, 1, 1, 1, 1, 0, 0, 0)",3836.0
"(1, 1, 1, 1, 0, 1, 1, 0, 0)",3850.0
"(0, 0, 1, 1, 1, 0, 1, 0, 0)",3865.0
"(0, 1, 0, 1, 1, 1, 0, 1, 0)",3867.0
"(0, 1, 1, 1, 0, 1, 1, 0, 1)",3869.0
"(1, 0, 0, 1, 1, 0, 0, 0, 0)",3877.0
"(1, 0, 1, 1, 0, 0, 0, 1, 0)",3879.0
"(1, 1, 0, 1, 0, 1, 1, 1, 0)",3881.0
"(1, 1, 0, 1, 0, 1, 0, 0, 1)",3881.0
"(0, 1, 1, 0, 1, 1, 0, 1, 0)",3882.0
"(1, 0, 1, 0, 1, 0, 0, 0, 0)",3892.0
"(1, 1, 0, 0, 1, 1, 1, 0, 0)",3894.0
"(0, 0, 0, 1, 1, 0, 1, 1, 0)",3896.0
"(0, 0, 0, 1, 1, 0, 0, 0, 1)",3896.0
"(1, 1, 1, 0, 0, 1, 0, 0, 1)",3896.0
"(1, 1, 1, 0, 0, 1, 1, 1, 0)",3896.0
"(0, 0, 1, 1, 0, 0, 0, 1, 1)",3898.0
"(0, 0, 1, 1, 0, 0, 0, 0, 0)",3898.0
"(0, 1, 0, 1, 0, 1, 1, 1, 1)",3900.0
"(0, 1, 0, 1, 0, 1, 1, 0, 0)",3900.0
"(1, 0, 0, 1, 0, 0, 1, 0, 1)",3910.0
"(0, 0, 1, 0, 1, 0, 1, 1, 0)",3911.0
"(0, 0, 1, 0, 1, 0, 0, 0, 1)",3911.0
"(0, 1, 0, 0, 1, 1, 1, 0, 1)",3913.0
"(0, 1, 1, 0, 0, 1, 1, 1, 1)",3915.0
"(0, 1, 1, 0, 0, 1, 1, 0, 0)",3915.0
"(1, 0, 0, 0, 1, 0, 0, 1, 0)",3923.0
"(1, 0, 1, 0, 0, 0, 1, 0, 1)",3925.0
"(1, 1, 0, 0, 0, 1, 0, 0, 0)",3927.0
"(1, 1, 0, 0, 0, 1, 0, 1, 1)",3927.0
"(0, 0, 0, 1, 0, 0, 0, 1, 0)",3929.0
"(0, 0, 0, 0, 1, 0, 0, 0, 0)",3942.0
"(0, 0, 0, 0, 1, 0, 0, 1, 1)",3942.0
"(0, 0, 1, 0, 0, 0, 0, 1, 0)",3944.0
"(0, 1, 0, 0, 0, 1, 0, 0, 1)",3946.0
"(0, 1, 0, 0, 0, 1, 1, 1, 0)",3946.0
"(1, 0, 0, 0, 0, 0, 1, 1, 1)",3956.0
"(1, 0, 0, 0, 0, 0, 1, 0, 0)",3956.0
"(0, 0, 0, 0, 0, 0, 1, 0, 1)",3975.0
"(0, 1, 1, 1, 1, 0, 1, 0, 0)",5585.0
"(1, 1, 0, 1, 1, 0, 0, 0, 0)",5597.0
"(1, 1, 1, 1, 0, 0, 0, 1, 0)",5599.0
"(1, 1, 1, 0, 1, 0, 0, 0, 0)",5612.0
"(0, 0, 1, 1, 1, 1, 1, 0, 0)",5614.0
"(0, 1, 0, 1, 1, 0, 0, 0, 1)",5616.0
"(0, 1, 0, 1, 1, 0, 1, 1, 0)",5616.0
"(0, 1, 1, 1, 0, 0, 0, 1, 1)",5618.0
"(1, 0, 0, 1, 1, 1, 0, 0, 0)",5626.0
